post,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3
Q: love youu sexy thang(;<br>A: Mwahaha!! Thank yuh meh sexy bitch!! who is this!? haha,Yes,1,Sexy bitch,No,0,,No,0,
Q: What was your favorite toy to play with as a child?<br>A: Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!,Yes,5,"""""""""""""""maybe it was ur moms dick""""""""""""""",Yes,2,The second poster gave an offensive and insulting answer to a simple question.,No,10,maybe it was ur moms dick
Q: what&#039;s your favourite colour?<br>A: Pink &amp; Neon green(:,No,0,,No,0,n/,No,,
Q: who decided to take a shit on your face?<br>A: im not quite sure! ill tell ya when i find out! I promise(:,Yes,2,shit on your face,Yes,2,who decided to take a shit on your face?,Yes,5,shit on your face
Q: Why do u follow the bandwagon? Formspring. Twitter. What&#039;s next gay Justin beiber.<br>A: Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!,Yes,2,Idiot! Cnt spell!,Yes,4,"""""""""""""""gay""""""""""""""",Yes,2,"""""""""""""""Gay"""""""""""""""
Q: Why do u like lil kids like Justin Beiber?<br>A: Umm... he has a bigga heart than you will EVER have so before you start to hate on a 16yr old that you obviously are addicted to  get your facts straight kay?,No,0,,Yes,2,'like lil kids',No,0,
Q: you need or should delete that 911 tweet. Not funny at all! you know how many people died that day including my father and brother<br>A: Umm...im truly sorry! bhut i didnt mean it in ANYWAY like u obviously got offended by!and i said it wasnt funny! So before you get all angry nd shit ill delete that tweet! Kthanks btw RIP ur daddy and brother,No,,,No,0,,Yes,1,"""""""""""""""angry nd shit"""""""""""""""
Q: lmao.. &quot;yurr reall funny skinny ass bitchh&quot;.. hm.. that isn&#039;t really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr<br>A: ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!,Yes,8,"""""""""""""""bitchh"""""""" """"""""talkn shit"""""""" """"""""white trash skank"""""""" """"""""super ugly"""""""" """"""""bitch"""""""" etc.""""""",Yes,10,"""""""""""""""Q: lmao.. """"""""yurr reall funny skinny ass bitchh"""""""".. hm.. that isn't really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr A: ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!""""""""""""""",Yes,10,Later white trash skank. BITCH!
Q: lol how cute u have friends that back u up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly ass<br>A: wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face.bitchh..!scard too gett fuckedd uuppp...!?!?! yurr reall funny skinny ass bitchh,Yes,7,"""""""'fake bitch', 'out of your league', 'ugly ass'""""""",Yes,10,"""""""""""""""Fake bitch"""""""", """"""""Ugly ass"""""""", """"""""Bitch"""""""", """"""""Gett fucked uuppp"""""""", """"""""Skinny ass bitchh""""""""""""""",Yes,10,"""""""""""""""ur still a fake bitch"""""""" """"""""go find a real bf"""""""" """"""""not someone out of ur league"""""""" """"""""lol ugly ass"""""""" """"""""scared to get fucked upp"""""""" """"""""your realy funny skinny ass bitch"""""""""""""""
Q: shit talkin bitch<br>A: wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,Yes,3,shit talkin bitch,Yes,2,shit talkin bitch & wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee puss,Yes,3,"""""""""""""""shit talking bitch"""""""", """"""""tlkin all thiis shitt"""""""", """"""""whooss thee pussy"""""""""""""""
Q: still a bitch :]<br>A: oh wow okay butt yuurr thee onee thattss tlking shittt....cuzz idntt evnn knoo whooo thiisss iss...!,Yes,5,still a bitch :],Yes,5,"""""""thattss tlking shittt, bitch""""""",Yes,7,still a bitch. talking shit.
Q: Suck it<br>A: ahaha all readyy h,Yes,2,Suck it,No,0,,Yes,1,"""""""""""""""Suck it"""""""""""""""
Q: why do u try so damn hard to fit in just be  your fucking self if you know how<br>A: ahahah funny,No,0,,No,0,,Yes,5,fucking
Q: whyy aree youu suchh aa faggottt(:<br>A: ahahaha i noo,Yes,8,"""""""""""""""Fagot""""""""""""""",Yes,3,"""""""""""""""whyy aree youu suchh aa faggottt""""""""""""""",Yes,2,"""""""""""""""faggottt"""""""""""""""
Q: your such a slut!!!!!!!!!! vvv<br>A: umm okkkayy thankss_(:,No,0,,No,0,,Yes,4,slut
Q: your ugly.<br>A: oohhh well thanksss yuuur soo,Yes,3,ugly,Yes,7,your ugly,Yes,8,"""""""""""""""your ugly"""""""""""""""
Q: &quot;I have one for your information&quot; WTF. That&#039;s MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.<br>A: BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK,Yes,2,"""""""You best think twice before you try to steal my stuff, bitch. A: BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK""""""",Yes,4,"""""""You best think twice before you try to steal my stuff, bitch  dumb fuck""""""",Yes,10,"""""""""""""""Bitch"""""""", """"""""Dumb fuck""""""""."""""""
Q: &quot;Show your face Anonymous&quot; WTF?! You make no sense you fake ugly bitch<br>A: i never said i did,Yes,4,"""""""""""""""Show your face Anonymous"""""""" WTF?! You make no sense you fake ugly bitch""""""",Yes,3,You make no sense you fake ugly bitch,Yes,1,you fake ugly bitch
Q: (: Stop hating on my page  kthx.<br>A: why would i wanna hate on you?,Yes,3,"""""""Stop hating on my page, kthx""""""",No,0,,No,0,
Q: ..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<3<br>A: i can say more  IM NOT FAKE,Yes,6,your fake everyone knows it,Yes,3,you're fake and everyone knows it,Yes,2,your fake
Q: :] im sorry  im not the one being a fake of some lady lol comeon now >.> be your damn self (: and im not fucking mental  i know what js means. i think you need to stfu and get a damn life instead of beng on here and faking some girl ; btw NICE COMEBACK!<br>A: I didn;t say you were mental i put that because some people don't what means duh. Your comebacks suck too,Yes,4,Be your damn self; I'm not fucking mental; you need to stfu and get a life; your comebacks suck too,Yes,5,The whole post,Yes,8,. i think you need to stfu and get a damn life instead of beng on here and faking some girl
Q: :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?<br>A: bitch i aint fake she is,Yes,6,"""""""""""""""you are fake"""""""", """"""""your stuuupid"""""""", """"""""fuck off may you?"""""""", and """"""""bitch i aint fake she is""""""""""""""",Yes,5,"""""""Q: :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings, your stuuupid :p we all know the real ashlee girls formspring already, soo fuck off may you? A: bitch i aint fake she is""""""",Yes,1,""""""":] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings, your stuuupid :p we all know the real ashlee girls formspring already, soo fuck off may you"""""""
Q: :3 wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :]<br>A: your retarded,Yes,4,retarded,Yes,7,""""""""""""""" :3 wow ashleeee your fakes amuse me lmao, okay, you are retarded to keep this page upp :]""""""""""""""",Yes,7,"""""""calls people """"""""retarded"""""""""""""""
Q: `` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&#039;s for making my day ;D<br>A: your welcome faggot,Yes,5,"""""""""""""""my fucking ass""""""""""""""",Yes,6,My fucking ass.,Yes,5,faggot
Q: 13?r you&#039;re at the perfect age to learn how to suck dick and give hand jobs.<br>A: SICKO,Yes,10,suck dick hand jobs,Yes,10,"""""""""""""""13?r you're at the perfect age to learn how to suck dick and give hand jobs.""""""""""""""",Yes,4,learn how to suck dick and give hand jobs.
Q: ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch.<br>A: you ain't pretty pshh don't make me laugh,Yes,9,ugly ass bitch that NO BODY knows,Yes,4,UGLY ass bitch,Yes,8,but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch. you ain't pretty pshh don't make me laugh
Q: and you called me fat why?<br>A: i don't know I'm sorry,Yes,3,called me fat,Yes,3,"""""""you called me fat, why?""""""",Yes,2,and you called me fat why?
Q: are you fake?<br>A: No are you,Yes,4,"""""""""""""""are you fake""""""""""""""",No,0,,No,0,
Q: are you famous or something? i haven&#039;t heard of you.. [x<br>A: Nopee,Yes,4,i haven't heard of you,No,0,,No,0,
Q: are you mental? she made a proof video! you cant lie<br>A: are you,Yes,2,are you mental? she made a proof video! you cant lie,No,0,,No,0,
Q: ashlee cyrus florida  Hey im ashlee im tired of everyone commenting on my damn formspring talking shit<br>A: okay?,No,0,,Yes,1,"""""""The first person was complaining about people talking """"""""shit."""""""" However, the specific negative comments were not mentioned.""""""",No,0,
Q: ashlee cyrus...r cyrus is a lame last name.r everyone knows if your a cyrus  you gotta be fake  and you&#039;re probably reall ugly in real life.r LMFAO.<br>A: duh of course cyrus isn't my real last name it's my fake last name.,No,4,"""""""""""""""you're probably ugly in real life""""""""""""""",Yes,4,Q calls A fake and ugly.,Yes,5,LMFAO
Q: baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen<3 go fuck yourself<3<br>A: nope,Yes,,,Yes,7,Bitch are you fucking stupid? Go fuck yourself.,Yes,7,"""""""bitch, your dumb, go fuck yourself"""""""
Q: BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR<br>A: that doesn't even make sense,Yes,6,A crack heads shit,Yes,9,"""""""""""""""YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET""""""""""""""",Yes,7,YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET
Q: BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U<br>A: should i care bitch,Yes,7,entire question and answer,Yes,3,"""""""""""""""bitch"""""""", """"""""stfu""""""""""""""",Yes,7,BITCH
Q: but your fake!!<br>A: I'm not fake (:,Yes,7,"""""""""""""""but your fake!!""""""""""""""",No,0,,No,0,
Q: Chick? Are you a fucking lesbain?<br>A: No are you,No,0,,Yes,8,Chick? Are you a fucking lesbain?,Yes,4,Are you a fucking lesbain
Q: do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.<br>A: cuz i felt like it :) i have one,Yes,7,"""""""""""""""do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.""""""""""""""",Yes,7,fuck shit,No,0,
Q: Does it make you mad you have tonsssss of hate groups on myspace?<br>A: I don't care anymore,Yes,5,Does it make you mad you have tonsssss of hate groups on myspace?,Yes,3,does it make you mad that you have tons of hate groups on myspace,No,0,
Q: Don&#039;t call her a bitch vv<br>A: just did,Yes,3,Don't call her a bitch,Yes,6,Bitch,Yes,5,bitch.
Q: DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?<br>A: not as stupid as you js[just saying],Yes,5,YOUR SO STUPIDDDD Not as stupid as you,Yes,5,Your so stupid STFU & Not as stupid as you,Yes,6,"""""""YOUR SO STUPIDDDD, delete this accountt"""""""
Q: dude  ewwwwr go home roger<br>A: back at you,Yes,7,"""""""""""""""dude"""""""" """"""""ewwwwr go home roger"""""""" """"""""back at you""""""""""""""",No,0,,No,0,
Q: dude it seems like everyone hates you. you should just delete all your socialing sites. (:<br>A: should i care?,Yes,6,everyone hates you.  delete all your socialing sites.,Yes,10,"""""""""""""""dude it seems like everyone hates you. you should just delete all your socialing sites. (:""""""""""""""",Yes,5,everyone hates you
Q: Dude she&#039;s faking herself  no one else in the world would fake her!<br>A: No im not,No,0,,Yes,2,"""""""She's faking herself, no one else in the world would fake her""""""",No,5,
Q: Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23<br>A: k,Yes,2,"""""""dumb,fake""""""",Yes,5,"""""""""""""""shes dumb"""""""", """"""""I told her she was fake"""""""", """"""""everyone look""""""""""""""",Yes,2,"""""""I Told Her She Was Fake, Then She Was Like Im Not Fake, Then She Took Bettys Pictures. SHES DUMB!"""""""
Q: ew you&#039;re gross. ugly. BITCH<br>A: not as gross as you bitch,Yes,4,Ew; gross; ugly; bitch,Yes,1,,Yes,9,"""""""""""""""ew you're gross. ugly. BITCH"""""""" """"""""not as gross as you bitch"""""""""""""""
Q: ewwwwwwww<br>A: okay i know im ew,No,0,,Yes,1,"""""""""""""""ewwww""""""""""""""",Yes,1,ewwwww
Q: Faaaaake. :D<br>A: I am not fake,Yes,2,fake,Yes,1,Faaaaake. :D,Yes,3,"""""""calls people """"""""fake"""""""""""""""
Q: fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake<br>A: Your fake,Yes,8,,Yes,1,fake,Yes,5,fake
Q: fake!<br>A: I'm not fake,Yes,3,fake!,No,0,,No,,
Q: Fake.<br>A: your fake,Yes,1,your fake,Yes,2,Q and A call each other fake.,No,0,
Q: get a life you twisted bitch!<br>A: You get a life,Yes,10,"""""""""""""""get a life you twisted bitch!""""""""""""""",Yes,5,get a life you twisted bitch,Yes,8,"""""""twisted, bitch"""""""
Q: get naked<br>A: Ew no,No,0,,Yes,6,get naked,No,0,
Q: GO TO HELL xD<br>A: you go to hell ugly wannabe scene chick.,Yes,5,"""""""go to hell, ugly""""""",Yes,5,Go to hell & you go to hell ugly wannabe scene chick,Yes,6,"""""""""""""""GO TO HELL"""""""" """"""""you go to hell ugly wannabe scene chick"""""""""""""""
Q: Grosss! Your face is nasty<br>A: so is yours,Yes,4,face is nasty,Yes,1,"""""""""""""""your face is nasty""""""""""""""",Yes,5,Grosss! Your face is nasty
Q: Grosss! Your face is nasty<br>A: so is yours you don't see me complaining,Yes,3,your face is nasty,Yes,3,"""""""""""""""your face is nasty"""""""" """"""""so is yours""""""""""""""",Yes,3,your face is nasty
Q: guess what you should do? GET A LIFE. I don&#039;t even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic.<br>A: i have one for your information Nope i ain't messed up,Yes,3,,Yes,3,why would you even start shit with me,Yes,7,"""""""""""""""GET A LIFE"""""""""""""""
Q: haha lifeless cunt stop writing on my wall you shit faced slut<br>A: yo mamma,Yes,8,stop writing on my wall,Yes,10,"""""""""""""""haha lifeless cunt stop writing on my wall you shit faced slut""""""""""""""",Yes,8,haha lifeless cunt stop writing on my wall you shit faced slut
Q: Have you ever went to someones page &amp; seen them asking theirselves questions  But when you ask them about it  they deny it? I&#039;ve seen it -_-<br>A: yea that is sooo stupid,Yes,1,"""""""But when you ask them about it, they deny it?""""""",No,0,,No,,
Q: heey. how many other formsprings do u have? like 50? damn. get a life.<br>A: you care why?,Yes,5,damn. get a life.,Yes,3,damn. get a life.,Yes,2,"""""""""""""""get a life"""""""""""""""
Q: hey everyone  this is the girl that fakes ta<br>A: k,Yes,2,fake,Yes,2,"""""""""""""""hey everyone this is the girl that fake""""""""""""""",Yes,1,this is the girl that fakes ta
Q: Hey im ashlee im tired of everyone commenting on my damn formspring talking shit<br>A: ..........,Yes,2,Q says everyone is talking shit.,No,0,,No,0,
Q: Hey im ashlee im tired of everyone commenting on my damn formspring talking shit<br>A: ///,Yes,1,"""""""people have been """"""""talking shit""""""""""""""",Yes,1,"""""""""""""""I'm tired of everyone commenting on my damn formspring talking shit""""""""""""""",No,,
Q: hey why dont you go kill yourself alot of ppl would be really happy :)<br>A: why would i wanna do that?,Yes,8,Q: hey why dont you go kill yourself alot of ppl would be really happy :),Yes,6,Q: hey why dont you go kill yourself alot of ppl would be really happy :),Yes,5,
Q: heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain&#039;t shit besides an ugly bitch. &amp; beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  &amp; stop hatein on peoples pages before i go off on your ugly ass.<br>A: please bitch what are you going to do nothing. If i were i would get a life,Yes,8,Q calls A a fucking bitch. A fucking stupid ass cunt. Takes an angry tone. A responds in kind.,Yes,10,"""""""""""""""Q: heyyy, your an ugly fucking bitch, you think your sexy? haha, you ain't shit besides an ugly bitch. & beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off, & stop hatein on peoples pages before i go off on your ugly ass. A: please bitch what are you going to do nothing. If i were i would get a life""""""""""""""",Yes,10,"""""""Q: heyyy, your an ugly fucking bitch, you think your sexy? haha, you ain't shit besides an ugly bitch. & beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off, & stop hatein on peoples pages before i go off on your ugly ass. A: please bitch what are you going to do nothing. If i were i would get a life"""""""
Q: hi asslee asshole :D<br>A: Hi anonymous,Yes,3,hi asslee asshole :D,Yes,2,hi asslee asshole,No,0,
Q: Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I&#039;d love to ram a metal pole up your ass.<br>A: I'd love to see you get hit by a car :),Yes,5,I'd love to ram a metal pole up your ass,Yes,4,"""""""Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was, you missed the toilet and it fell on your ugly clothes, are you poor? You stink like hamster poo. I'd love to ram a metal pole up your ass.""""""",Yes,9,"""""""smelly, rotten, vomit, poo, ugly, poor, stink, """"""""I'd love to ram a metal pole up your ass."""""""""""""""
Q: hi you&#039;re ashlee and you&#039;re not 16 and you&#039;re ugly as hell so beware bye ;)<br>A: if i were you i wouldn't be talking beth (:,No,0,,Yes,1,you're ugly as hell so beware,Yes,7,"""""""ugly as hell, beware"""""""
Q: How much do you have sex?<br>A: what type of question is that sicko,No,0,,Yes,1,sicko,Yes,4,"""""""sick, how much do you have sex"""""""
Q: http://files.formspring.me/profile/20100511/4bea173ca6455_thumb.jpg<br>A: stalkerrrr,No,0,,No,0,,No,0,http://files.formspring.me/profile/20100511/4bea173ca6455_thumb.jpg
Q: I don&#039;t know you  and I&#039;ve never said ur ugly. please dot comment on my looks.<br>A: learn how to spell (:,No,0,,Yes,5,"""""""I've never said ur ugly, learn how to spell""""""",Yes,4,learn how to spell
Q: i dont know you  but you seem like a bitch<br>A: I'm not,Yes,1,you seem like a bitch,Yes,5,you seem like a bitch,Yes,6,"""""""""""""""i dont know you, but you seem like a bitch"""""""""""""""
Q: i hope your asswhole gets sniffed by aids<br>A: Hope you get aids (:,Yes,7,i hope your asswhole gets sniffed by aids Hope you get aids (:,Yes,8,"""""""""""""""i hope your asswhole gets sniffed by aids"""""""", """"""""Hope you get aids (:""""""""""""""",Yes,3,"""""""Asswhole, aids"""""""
Q: i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.<br>A: Are you sure im not dissing you,Yes,6,"""""""people are """"""""dissing"""""""" others""""""",Yes,1,"""""""i like how everyone writes you just to insult you. seriously, all your questions are dissing you! HAHAH.""""""",Yes,3,"""""""everyone writes you just to insult you, all your questions are dissing you"""""""
Q: i never said that i&#039;m 16 or that i&#039;m sexy. dumbasssssss<br>A: are you sure bitch?,Yes,6,"""""""sexy, dumbasssssss, bitch""""""",Yes,5,"""""""""""""""dumbasssssss"""""""" """"""""are you sure bitch""""""""""""""",Yes,10,"""""""sexy, bitch"""""""
Q: i swear to fucking god bitch. i hate you so much. you think you can add people and just talk shit on there pages? haha  naaa. yuuu must got us fucked up. im going to hunt your ass down and beat the shit out of youu with my own to hands. kbitchhhh?<br>A: lame ass joke you can't do shit,Yes,10,""""""""""""""" swear to fucking god bitch""""""""""""""",Yes,10,"""""""Q: i swear to fucking god bitch. i hate you so much. you think you can add people and just talk shit on there pages? haha, naaa. yuuu must got us fucked up. im going to hunt your ass down and beat the shit out of youu with my own to hands. kbitchhhh? A: lame ass joke you can't do shit""""""",Yes,10,"""""""i swear to fucking god bitch, i hate you so much, im going to hunt your ass down and beat the shit out of youu with my own to hands."""""""
Q: I&#039;m not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls  and you want attention. Dumbfuck.<br>A: i dont fake myself,Yes,8,"""""""I'm not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls, and you want attention. Dumbfuck.""""""",Yes,8,"""""""Q says everyone hates A, uses lots of curse works, calls A ugly fake & pathetic. Calls A dumbfuck A, apparently, called Q a creepy stalker.""""""",Yes,10,"""""""""""""""everyone fucking hates you"""""""" """"""""everyone knows what you fucking do"""""""" """"""""You remind me of Harmony Flashpink but uglier and a little more pathetic"""""""" """"""""Everyone knows your face yourself"""""""" """"""""You want attention"""""""" """"""""Dumbfuck"""""""""""""""
Q: i&#039;m not fake (:r sorry.<br>A: liar,Yes,1,I'm not fake,Yes,2,liar,Yes,1,liar
Q: If Your Going To Be Rude &amp; Give Smart Ass Answers; We Will Unfollow You. :]<br>A: okay,Yes,3,"""""""""""""""If Your Going To Be Rude & Give Smart Ass Answers; We Will Unfollow You. :]""""""""""""""",Yes,3,If Your Going To Be Rude & Give Smart Ass Answers,No,0,
Q: im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head<br>A: oh wow should i care,Yes,8,"""""""""""""""im a big fan of betty and u is ugler than her so fuck up bitch,u ugly shit head""""""""""""""",Yes,10,"""""""so fuck up bitch,u ugly shit head""""""",Yes,9,lots of curse words and hurtful terms in question.
Q: It&#039;s your cousin again lol :] why is everyone saying your fake?<br>A: they are stupid,No,0,,Yes,5,uses hurtful terms.,No,0,
Q: Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.<br>A: you learn to keep your damn mouth shut,Yes,4,Q: ... learn how to be a proper fake A: you learn to keep your damn mouth shut,Yes,3,"""""""fake, damn mouth shut""""""",Yes,4,keep your damn mouth shut
Q: LMFAO  you&#039;re fucking creepy &amp; must have no friends nor life  if you have to create muliple formsprings of yourself  saying theyre fakes. Quit thinking everyone wants to be you  &amp; they copy you. No one would fake you. I&#039;m sorry your such a pathetic poser.<br>A: your the one who is creepy stalker,Yes,5,"""""""LMFAO, you're fucking creepy & must have no friends nor life, if you have to create muliple formsprings of yourself, saying theyre fakes. Quit thinking everyone wants to be you, & they copy you. No one would fake you. I'm sorry your such a pathetic poser.""""""",Yes,10,""""""", you're fucking creepy & must have no friends nor life,""""""",Yes,6,"""""""you're fucking creepy, your such a pathetic poser"""""""
Q: Me pathetic?? your the one who started the shit...<br>A: so?,No,0,,Yes,2,started this shit,Yes,1,"""""""""""""""me pathetic?? your the one who started the shit..."""""""""""""""
Q: no body likes yuuuuuuu!<br>A: like I care,Yes,1,nobody likes you,Yes,1,"""""""""""""""no body likes yuuuuuuu""""""""""""""",Yes,6,no body likes yuu
Q: No honestly your really immature :)<br>A: your the one,Yes,1,your really immature,Yes,2,your really immature,Yes,1,your really immature
Q: Nope. I actually have a life. *COUGHCOUGH* unlike you  the lonely pathetic ugly lowlife man/woman who&#039;s life events are: staying on formspring creating fakes and starting shit. Seriously  I&#039;m not the bitch  you are. END OF STORY. KCOOLBYE.<br>A: i have a life show your face Anonymous,Yes,,"""""""Q: Nope. I actually have a life. *COUGHCOUGH* unlike you, the lonely pathetic ugly lowlife man/woman who's life events are: staying on formspring creating fakes and starting shit. Seriously, I'm not the bitch, you are. END OF STORY. KCOOLBYE. A: i have a life show your face Anonymous""""""",Yes,6,"""""""I actually have a life. unlike you, the lonely pathetic ugly lowlife man/woman who's life events are: staying on formspring creating fakes and starting shit. I'm not the bitch, you are.""""""",Yes,10,lonely pathetic ugly lowlife man/woman who's life events are: staying on formspring creating fakes and starting shit.
Q: obese<br>A: not close to obese,Yes,2,obese,No,0,,No,0,
Q: oh god not you again.<br>A: same here,Yes,1,oh god not you again.,No,0,,Yes,1,not you again
Q: ohh look the girl who fakes herself....<br>A: I only faked myself once!,Yes,1,the girl who fakes herself,Yes,4,"""""""""""""""ohh look the girl who fakes herself....""""""""""""""",Yes,6,I think this is referring to fake suicide threats maybe.
Q: Ok bitch.. wanna get started on me ?.. Ok one faggot is an over used term that people try to use on me to get me to feel bad.. two.your nothing but alowlife bitch who gets the kicks out of starting shit with people don&#039;t comestarting shit on my formspring<br>A: well i want to bitch,Yes,6,Ok bitch.. wanna get started on me ?.. Ok one faggot is an over used term that people try to use on me to get me to feel bad.. two.your nothing but alowlife bitch who gets the kicks out of starting shit with people don't comestarting shit on my formspring,Yes,8,"""""""bitch, wanna get started on me, faggot, your nothing but alowlife bitch""""""",No,,
