post,label
how old were you when you learned to swim i dont know how old i was when i started doing anything dude laugh out loud,1
how would you like to die unexpectedly and when i am really old,1
ladies of spring this is my opinion but i highly advise you ignore any questions from this person and block him allrighty lady,1
i am done spamming for the day leave me things thanks have a good rest of the day,1
i can be your sex toy i can be your mallibu barbie i can play for you i can make you move in ways you cant imagine haha,1
i totally asked a guy to prom guess what he said yes and then didnt show up haha,1
ill give you a scenario what if your friend dated someone who is in a relationship or had a relationship with someone who is in a relationship what will you do its not my business if it were up to me they should not do that i believe its called being a homewrecker but its not my business to poke around in i would voice my opinion if asked but thats all,1
if you can change something about the worlds history what would it be to find out if hitler was really what the jews have made him out to be or if things were just blown way out of proportion and history just wrote itself like that i dont know to be honest what is true anymore pluto can even make up its mind if its a planet or a moon how are we supposed to know whats real or whats just written in the books for us to be made to believe happened,1
if you could be a superhero which one would you be eh probably the yellow power ranger duh,1
if you could punch one celebrity without any repercussions who would it be taylor swift,1
if you found out someone was pregnant by you for men or you were pregnant for women how would you react that sucks haha jk,1
i am unfollowing you just let my dumb ass know that i dont need your bullshit thanks enjoy the rest of your day peace,1
i am about to spam you all so if you do not want me to tell me now sukkahs lol thanks mmkayy,1
im in your city laugh out loud cincinnati,1
is it cool to be dumb these days if so i do not like the trend no i hate dumb people,1
kaydoll is better than rhubinathy cuss she will suck my dick and the other fat hoe wont and i love it my sluts okay,1
lets jump off the bridge together you go first ill check if it works and if not ill reconsider haha thats probably what would happen the first time i went to the falls in monroe do you know if youve heard of them its a waterfall and you jump off well everyone had been there before except me and it was nighttime im a retard and i was the only one who would jump no second chances haha,1
laughing out loud whats this with people asking you about smelling your feet and apparently in an even stranger twist someone already has smelled your feet yeahh,1
im going back,1
my dick throbs for your attention call me wow good one,1
okay thats all for now ive been having some trouble with people not wanting questions and being bitchy about it if you dont want any further questions please message me in my inbox and you will be removed without a fight thanks guys yeah yeah,1
please can i poop in your mouth no and anonymity is just your way of not being able to show yourself at least have the dignity to leave your name if youre going to talk bahahaha,1
please stop harassing me on my formspring i do not harass people on formspring will you stop harassing me you keep leaving anonymousness on my page r keep your negative thoughts off my formspring please and thank you very much,1
r do you think their parents know they are stalkers huh,1
remember cassie laugh out loud no one whos cassie,1
say someone is going to have an abortion and they only way they wont is if you take the child would you depend on it if its a crack baby a lot of people are very unhealthy while being pregnant,1
smilemexx is trailer trash a racist fat cow a bimbo fucking slut and worthless as hell all shes good for is someone using his body for sex and dumping her on the street when theyre done using her thats not very nice,1
so sober sunday messed up monday trashed tuesday wasted wednesday thirsty thursday fucked up friday shitfaced saturday whats your favorite day of the week um sober sunday,1
so tell me where you think the fags come from why do you think they are pervy i dont know i dont have them,1
stop asking yourself questions im not stop being mean for no reason,1
you naked no poo,1
youre really odd why do you think so,1
what accent bothers you i guess all accents are nice in the beginning but to live with them for ever is annoying i dont know i cant stand the hick redneck blahh i got to talk like im stupid and have no knowledge as to what im saying yaahh ugh hate it haha,1
what character from a movie most reminds you of yourself i hate repeat questions ha,1
what do you think about parents who smoke pot around their children its dumb,1
what do you wear when you want to be the most comfortable my birthday suit haha,1
what if i said i wanted to rock your body i would say ok,1
what item of clothing do you have the most of tanks i wear them under everything,1
what made you interesting the responses to the questions ive been asked and perhaps the questions i ask others haha i dont know what youre asking,1
what was your first impression of me,1
what were you like when you were a kid fun outgoing very blunt and more like a year old in a years body haha,1
what would you do for a cheeseburger i dont like cheeseburgers,1
what would you do if the police broke into your house and beat their faces,1
what is the worst thing that a friend did to you i had my first way attack on the phone when i was in third grade that was pretty dumb haha,1
whats under your bed,1
when do your breasts make a public appearance you really ask a bunch of personal bodily questions haha but they usually dont being that they are only enough to see that i am a woman haha i do not find cleavage necessary to be attractive,1
when was the last time someone hit on you people dont hit on me lol,1
who are the most overrated musicians hmm overrated taylor swift jonas brothers miranda lambert,1
whose betty formspringme kaydollbitch or wwformspringme rubinathy why dont you find out and get off my page mmkayy thanks,1
why are people so fascinated with when the world is going to end i dont know but you seem to be one of those people i think ive answered questions about the world ending,1
why do you think we are greedy is this by nature or do we learn it because of selfishness and this is not by nature learned and accepted if you want to be greedy you will if not you wont its that simple,1
why is it that some of us are cursed to constantly think while on the other hand other people rarely do so i have no idea but its probably because of where our priorities lie compared to the others that dont think where are theirs,1
why is tyra banks such a dumb bitch i dont know i didnt know she was,1
why do you always ask stupid questions erase the dumb bitch why are you talking to me in anonymity be a man show your face hahaha,1
would you rather be a flaming gay handicapped nigger with cherubism or a white trash skitzopherenic amputee with turettes i guess if i had to choose i would choose the second one at least with turettes i could make people laugh,1
you can flip a switch that will wipe any band or musical artist off the earth who would it be jonas brothers,1
your mans dick stinks how do you tell him without hurting his feelings guys how would you like your girl to tell you this without getting ass hurt tell him you want to get in the shower with him,1
lol you so dumb one tv show and you said a whole tv channel lol anyhow how are you mr ching lmao ah sheesh caught me see thats what happens when that kush kicks in makes you forget shyt lol n im good mama wbu,1
alexiss phone number is ima post it on myspace you little bitch haha you better not not kill you,1
ahahahahahahahahahahahahah vv awee poor arron i broke his heart gave him a heart attack ahahahahahahaha lol well idgaf,1
alexis nicole hodnett youre not going to north please im going to north im sorry anthony im going to north im sorry anthony im going to north no worries,1
are you a lesbian hmm no,1
are you a hacker,1
hey that tootsie girl is fucking kidding herself yeah i know she was writing her own questions funny shit,1
baby you got some awesome toys i know thanks,1
bitches below me i would say your name but you put it on anonymous pussy ass bitches talkin shit on alexis she can show her husband if she wants do not be jealous because you probably do not gawt any its ok though and bitch when she sayz write to her she lmao haters,1
bitch really your saying shes fat now bitch your probably the fat lonely ass flat chested bitch who cant get none so stop hating and please bitch take your shit off anonymous dumb ass bitch lol the day the bitch takes it off anonymous is the day she grew some balls,1
bitch he dam what the fuck is your problem really you guys need to take it off anonymous and tell us who the fuck you want down i love you alexis your nothing a bitch fuk them aha pussies marissa for real tho,1
bj or hj oh my god oh lulz,1
boobies i love you too member i love you too thats it,1
damn good girl you be looking at me mad sexii i wood do you inn all sortds of ways lol thats cute,1
im sorry i cannot complete this task as it goes against openais use case policy,1
dayumm stupid fucking cunts stop talking your shit get a fucking life go suck your moms dick and chock on it dayumm lil pussys take it off anonymous or whatever stephanie iloveyou alexis haha i know huh but they do not matter i love you too stephanie,1
did you now that your ugly i love your ugly but did you know that your uglier than my dogs poop nahh just kidding youre not a bitch like me,1
do you want to suck my dick i dont want to catch anything sorry,1
do you give free bjs in your dreams maybe but in reality you got to face the fact that sweetie,1
do you watch porn haha thats funny whats your question i would answer you butt it doesnt matter,1
dumb bitch fuchkk you and your stupid friends your all pussies none of you can handle on your own you always need your friends to get in everything you honestly waste m time but whtevrr i dont care wht you think juss come and say it to my face,1
f the lakers go to the ncaa noo f you your ncaa,1
fuck you all betches if this is arron you really need to get off my ass call me a bitch idc i know i am but i think youre retarded hella ugly dont put a pic of your body only when you dont got a nice one d and naah nigga fuck you,1
go to hell after you,1
haha i made you cry today oh yeah because my boobs are so big haha i wish and vv i guess shes a c am i right ahh haha it was so funny yes they are damn how i knew my bra size,1
hey bitch boobs do not count when the only reason you have them is because you are fat fat or skinny i still have them way better than having nothing get a life bitch and get off anonymous with this bullshit,1
hey bitch do not get mad at people who write on here because you ask people to write to you hey bitch who said i was mad assume whatever but if you are going to talk shit put your name alright,1
what,1
i hope you dont think that your pretty case has anything to do with your not being well youre uglier than you think your life just gets lower each day so keep talking your shit,1
i knew you have a dick for sure,1
i like the way you show off your tits,1
i like that youre a pervert because you are hot,1
i love you alex and i hate dominic i love you too,1
im going to fuck you up up your ass you probably know what being a hoe is all about bitch,1
kikk her ass vv haha wtf try her bitch i dare you yuh alexis lol too,1
liar you do not have a boyfriendgirlfriend vv lol i know this information thank you,1
mean to ask her questions and stuff nothing to talk about shit talk on anonymous pussy ass bitches whatever you guys dont mean shit to her and dont affect her so be a bitch to someone who cares pussy ass fucken ugly bitches fuck you love you maybe the pussy ass bitches will say it to my face one day,1
member do you have a big penis xd lmaoo haha i sure do,1
my mom is a bitch shes blocking my texting ah oh i might hang out with david ha haha weiner youre right i remember him,1
oh is that that faggot is going to be there is your mom going to be there fuck you bugg and it takes a faggot to know a faggot,1
are you a virgin yet,1
remember that girl you fought last year maybe why she wants another beating lol jk,1
sarah stanford takes it up the butt hole your mean stop hating,1
she doesnt have any big ass boobs please dont get you up there,1
spit or swallow ill pray for you,1
stanford has a penis its probably bigger than yours but why are you telling me this im not even her friend lol,1
