post,label
"['bitch', 'stfu', 'least', 'recognize', 'like', 'care', 'bitch']",1
"['fake', 'fake']",1
"['chick', 'lesbian']",1
"['even', 'know', 'fuck', 'leave', 'shit', 'wall', 'seriously', 'get', 'life', 'felt', 'like', 'cardinal']",1
"['make', 'mad', 'ton', 'hate', 'group', 'myspace', 'care', 'anymore']",1
"['call', 'bitch']",1
"['dude', 'serious', 'stupid', 'stop', 'swearing', 'way', 'tire', 'people', 'talk', 'shit', 'form', 'spring', 'delete', 'account', 'bad', 'stupid', 'think', 'say']",1
"['dude', 'eww', 'go', 'home', 'person']",1
"['dude', 'seem', 'like', 'everyone', 'hat', 'delete', 'social', 'medium', 'site', 'care']",1
"['dude', 'fake', 'one', 'else', 'world', 'would', 'fake']",1
"['everyone', 'look', 'girl', 'use', 'missy', 'locke', 'picture', 'tell', 'fake', 'say', 'fake', 'take', 'bettys', 'picture', 'dumb']",1
"['ew', 'gross', 'ugly', 'bitch', 'gross', 'bitch']",1
"['eww', 'okay', 'know', 'ew']",1
"['person', 'fake']",1
"['phrase', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'fake', 'news', 'fake', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake', 'news', 'fake']",1
"['false', 'false']",1
"['fake', 'fake']",1
"['get', 'life', 'twist', 'bitch', 'get', 'life']",1
"['get', 'naked', 'ew']",1
"['go', 'hell', 'go', 'hell', 'ugly', 'wannabe', 'scene', 'chick']",1
"['rude', 'unpleasant']",1
"['rude', 'inconsiderate', 'care', 'anyone', 'elses', 'feeling']",1
"['guess', 'get', 'life', 'even', 'know', 'would', 'even', 'start', 'something', 'seriously', 'must', 'bit', 'mess', 'head', 'pathetic', 'one', 'information', 'mess']",1
"['haha', 'lifeless', 'cunt', 'stop', 'writing', 'wall', 'shitfaced', 'slut', 'yo', 'mamma']",1
"['ever', 'go', 'someone', 'page', 'see', 'ask', 'question', 'ask', 'deny', 'see', 'stupid']",1
"['hey', 'many', 'form', 'speech', 'like', 'damn', 'get', 'life', 'care']",1
"['hey', 'everyone', 'girl', 'fake', 'tattoo']",1
"['hey', 'person', 'tire', 'everyone', 'comment', 'damn', 'formspring', 'talk', 'shit']",1
"['hey', 'ashlee', 'tire', 'everyone', 'comment', 'damn', 'formspring', 'talk', 'shit']",1
"['hey', 'go', 'kill', 'lot', 'people', 'would', 'really', 'happy', 'would', 'would', 'want']",1
"['hey', 'ugly', 'filthy', 'bitch', 'think', 'sexy', 'pathetic', 'worthless', 'ugly', 'bitch', 'beware', 'put', 'blast', 'stupid', 'ignorant', 'worthless', 'ugly', 'bitch', 'fuck', 'stop', 'hating', 'people', 'page', 'go', 'ugly', 'ass', 'please', 'bitch', 'go', 'would', 'get', 'life']",1
"['hi', 'asshole']",1
"['hi', 'smell', 'bad', 'smell', 'like', 'pig', 'vomit', 'go', 'toilet', 'wonder', 'smell', 'miss', 'toilet', 'fell', 'ugly', 'clothes', 'poor', 'stink', 'like', 'hamster', 'poo', 'would', 'love', 'ram', 'metal', 'pole', 'ass', 'would', 'love', 'see', 'get', 'hit', 'car']",1
"['hi', 'ashlee', 'ugly', 'hell', 'beware', 'bye', 'would', 'talk', 'person']",1
"['much', 'sex', 'type', 'question']",1
['stalkerr'],1
"['know', 'never', 'say', 'ugly', 'please', 'comment', 'look', 'learn', 'spell']",1
"['know', 'seem', 'like', 'bitch']",1
"['hope', 'ass', 'whole', 'get', 'sniff', 'aid', 'hope', 'get', 'aid']",1
"['like', 'everyone', 'write', 'insult', 'seriously', 'question', 'diss', 'sure', 'diss']",1
"['never', 'say', 'sexy', 'dumbass', 'sure']",1
"['swear', 'god', 'bitch', 'hate', 'much', 'think', 'add', 'people', 'talk', 'shit', 'page', 'haha', 'nah', 'must', 'mess', 'go', 'hunt', 'ass', 'beat', 'shit', 'hand', 'bitch', 'lame', 'joke', 'anything']",1
"['norp', 'stalker', 'everyone', 'hat', 'everyone', 'know', 'remind', 'harmony', 'flash', 'pink', 'ugly', 'little', 'pathetic', 'everyone', 'know', 'fake', 'girl', 'want', 'attention', 'dumb']",1
"['fake', 'sorry', 'liar']",1
"['go', 'rude', 'give', 'smart', 'answer', 'unfollow', 'okay']",1
"['big', 'fan', 'betty', 'ugly', 'fuck', 'bitch', 'ugly', 'shit', 'head', 'oh', 'wow', 'care']",1
"['cousin', 'laugh', 'loud', 'everyone', 'say', 'fake', 'stupid']",1
"['learn', 'spell', 'learn', 'tell', 'apart', 'typo', 'spell', 'error', 'learn', 'proper', 'fake', 'learn', 'keep', 'mouth', 'shut']",1
"['lol', 'fucking', 'creepy', 'must', 'friend', 'life', 'create', 'multiple', 'formsprings', 'say', 'fakes', 'quit', 'think', 'everyone', 'want', 'copy', 'one', 'would', 'fake', 'sorry', 'pathetic', 'poser', 'one', 'norp', 'stalker']",1
"['one', 'start', 'shit']",1
"['one', 'like', 'care']",1
"['honestly', 'really', 'immature', 'cardinal']",1
"['actually', 'life', 'unlike', 'lonely', 'pathetic', 'ugly', 'lowlife', 'man', 'woman', 'life', 'event', 'stay', 'formspring', 'create', 'fake', 'start', 'shit', 'seriously', 'bitch', 'end', 'story', 'kcoolbye', 'life', 'show', 'face', 'anonymous']",1
"['person', 'close', 'obese']",1
"['oh', 'god']",1
"['ohh', 'look', 'girl', 'fake', 'fake']",1
"['ok', 'bitch', 'want', 'start', 'ok', 'cardinal', 'faggot', 'overused', 'term', 'people', 'try', 'use', 'get', 'feel', 'bad', 'cardinal', 'nothing', 'awful', 'life', 'bitch', 'get', 'kick', 'start', 'shit', 'people', 'come', 'start', 'shit', 'formspring', 'well', 'want', 'bitch']",1
"['okay', 'bitch', 'quick', 'comeback', 'fake', 'pathetic', 'much']",1
"['slut', 'leave', 'betty', 'alone', 'cunt', 'face', 'slut']",1
"['sex', 'lot']",1
"['stay', 'formspring', 'even', 'know']",1
"['shut', 'piece', 'shit', 'wow', 'feel', 'insult']",1
"['stop', 'annoy', 'betty', 'way', 'really', 'sad', 'little', 'girl', 'think', 'grow', 'use', 'big', 'word', 'stupid', 'child', 'live', 'fake', 'life', 'behind', 'keyboard', 'screen', 'pathetic', 'girl', 'fake', 'human']",1
"['stop', 'leave', 'stuff', 'like', 'fake', 'form', 'dead', 'give', 'away', 'dumbass', 'suck', 'cunt', 'talk']",1
"['stop', 'make', 'fake', 'ugly', 'fuck', 'actually', 'bitch', 'actually', 'cyrus', 'get', 'mother', 'life', 'make', 'fake', 'person', 'get', 'fake', 'straight']",1
"['sure', 'must', 'spam', 'continue', 'spamming', 'okay', 'sure']",1
"['know', 'care', 'betty', 'way', 'well', 'look']",1
"['ugly', 'piece', 'shit', 'stop', 'talk']",1
"['ugly', 'know']",1
"['um', 'right', 'dumbass', 'stop', 'start', 'shit', 'everyone', 'coolbye', 'bitch', 'one', 'copy']",1
"['face', 'nasty', 'yes']",1
"['pretty', 'screw', 'every', 'one', 'thanks']",1
"['go', 'haha', 'go', 'haha', 'go', 'get', 'bitches', 'kick', 'living', 'shit', 'ugly', 'fake', 'wannabe', 'bitch', 'make', 'ass', 'yeah', 'right', 'make', 'laugh']",1
['mom'],1
[],1
"['still', 'alive', 'know', 'tell']",1
"['stupid', 'stupid']",1
"['pretend', 'someone', 'else', 'lame', 'know', 'lot', 'hate', 'group', 'myspace', 'fake', 'shut']",1
"['girl', 'call', 'star', 'chick', 'still', 'live', 'home', 'mom', 'lmfao']",1
"['fake', 'fake']",1
"['many', 'fake', 'formsprings', 'fake']",1
"['say', 'oh', 'leave', 'people', 'alone', 'delete', 'fake', 'fyi']",1
"['wow', 'fake', 'tire', 'everyone', 'talk', 'shit', 'spring', 'either', 'stop', 'talk', 'shit', 'ordinal', 'delete', 'damn', 'thing', 'gosh', 'retard', 'forget', 'stupid', 'people', 'date', 'would', 'whatever', 'bitch']",1
"['wow', 'really', 'stupid', 'tell', 'girl', 'show', 'information', 'comeback', 'really', 'bad', 'fighting', 'internet', 'like', 'special', 'olympics', 'even', 'win', 'still', 'stupid', 'um', 'look', 'talk', 'talk', 'nonsense', 'stop', 'hypocrite']",1
"['yes', 'big', 'nose', 'seriously', 'girl', 'big', 'nose', 'nose', 'big']",1
"['short', 'bitch', 'fake', 'fake']",1
['nasty'],1
"['stupid', 'ugly']",1
"['even', 'fake', 'thing', 'stop', 'fucking', 'bullshit', 'get', 'life', 'old', 'kid', 'lifeless', 'bitch', 'need', 'help', 'yes']",1
['die'],1
"['listen', 'song', 'big', 'weenie', 'eminem', 'describe', 'much', 'everyone', 'feel', 'way', 'towards', 'xd', 'lol', 'sure', 'describe']",1
"['suck', 'nigga']",1
"['sure', 'hell', 'look', 'like', 'dog', 'call', 'hun', 'get', 'look', 'like', 'damn', 'dog', 'haha', 'go']",1
"['fucking', 'pathetic', 'comment', 'formspring']",1
"['mean', 'okay']",1
"['one', 'ugly', 'people', 'ever', 'see', 'see', 'face', 'lately', 'would', 'talk', 'like']",1
"['really', 'rude', 'heck', 'problem', 'know']",1
"['bitch', 'fuck', 'dog']",1
"['fake', 'fake', 'call', 'real', 'haley', 'fake', 'formspring', 'lame', 'bitch', 'leave', 'stupid', 'username']",1
"['unpleasant', 'person', 'look', 'like', 'man', 'face', 'whatever', 'say', 'true']",1
"['background', 'stupid', 'like', 'face']",1
"['come', 'back', 'fucking', 'horrible', 'dumb', 'bitch', 'like', 'fucking', 'cardinal', 'like', 'know', 'yeahh', 'bitch', 'get', 'fucking', 'life', 'one', 'unlike', 'hun']",1
"['comebacks', 'suck', 'like', 'say']",1
"['comebacks', 'suck', 'ball']",1
"['face', 'nasty', 'jealous']",1
"['ugly', 'like', 'mom']",1
"['mad', 'ugly', 'true', 'talk', 'like', 'face']",1
"['attractive', 'stop', 'hating', 'grace', 'pretty', 'girl', 'oh', 'god', 'would', 'want', 'jealous']",1
"['probably', 'cardinal', 'faking', 'kai', 'huh', 'fucking', 'bitch', 'huh', 'life', 'unlike']",1
"['immature', 'sorry', 'friend', 'rude', 'everyone', 'jealous', 'sexy', 'anonymous', 'show', 'face', 'faggot']",1
"['thing', 'say', 'sexy', 'lololol', 'haha', 'lie', 'stalker', 'much']",1
"['ugly', 'fuck', 'betty', 'pretty', 'stop', 'bitch', 'psh', 'yeah', 'right']",1
"['ugly', 'momma']",1
"['ugly', 'stop', 'talk']",1
"['ahh', 'wonder', 'like', 'like', 'lot', 'maybe', 'tell', 'get', 'know', 'kid']",1
"['person', 'stop', 'talk', 'friend', 'nobody', 'like', 'think', 'hot', 'stuff', 'annoy', 'bye', 'fail', 'rapist', 'person']",1
['asshole'],1
"['believe', 'even', 'nico', 'want', 'go', 'near', 'like', 'try', 'type', 'ghetto', 'scare', 'bitch', 'would', 'probably', 'kill', 'fight', 'would', 'probably', 'bring', 'ghetto', 'friend', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would', 'bella', 'kendall', 'would']",1
"['aww', 'beat', 'ass', 'badass', 'enough', 'exactly', 'mean', 'pussy', 'tell']",1
"['look', 'like', 'give', 'fly', 'fuck', 'cause', 'friendless', 'faggot']",1
"['even', 'try', 'deny', 'much', 'good', 'wish', 'could', 'open', 'pretty', 'little', 'eye', 'see', 'player', 'sure']",1
"['squirm', 'motha', 'fucka', 'syringe', 'spare', 'time', 'skin', 'nigger', 'hit', 'nigga', 'nico', 'binge', 'aha', 'nigga', 'zure', 'nice', 'rhyme', 'llama', 'fucker']",1
"['dude', 'frustrated', 'take', 'anymore', 'haha', 'sorry', 'sort', 'thing']",1
"['dude', 'terrible', 'fag', 'funny', 'anonymous', 'bitch']",1
"['ew', 'fuckk', 'ugly', 'fuck', 'ugly', 'fuck', 'would', 'talk', 'retard', 'know', 'pretty', 'girl', 'see', 'cardinal']",1
"['wow', 'would', 'never', 'jealous', 'life', 'coke', 'drug', 'still', 'seem', 'handle', 'lot', 'one', 'give', 'fly', 'fuck', 'life', 'leave', 'andrew', 'fuck', 'alone', 'hate', 'fiery', 'cunt', 'haha', 'cocaine', 'idiot', 'give', 'fuck', 'guy', 'one', 'commenting', 'formspring', 'shut']",1
"['ew', 'vv', 'know', 'question', 'point', 'asshole']",1
"['exactly', 'hard', 'get', 'get', 'get', 'fuck']",1
"['france', 'nico', 'take', 'private', 'conversation', 'one', 'want', 'hear', 'loveydovey', 'stuff', 'shut', 'ahaha', 'shut']",1
"['person', 'ugly', 'france', 'laura', 'senecal', 'gorgeous', 'absolutely', 'one', 'beautiful', 'girl', 'ever', 'see']",1
"['france', 'seriously', 'stop', 'try', 'make', 'people', 'feel', 'bad', 'ugly', 'ugly', 'stupid', 'cunt', 'beautiful', 'stop', 'talk', 'crap', 'get', 'life', 'silly', 'fuckstick', 'damn', 'like', 'honestly', 'much', 'loser', 'talk', 'shit', 'formspring']",1
"['fuck', 'jealous', 'ugly', 'ass', 'freak', 'bitch', 'suck', 'fucking', 'dick', 'say', 'shit', 'face', 'fucking', 'pussy']",1
"['haha', 'cute', 'call', 'bitch', 'leave', 'name', 'right', 'want', 'get', 'cardinal', 'cardinal', 'let', 'u', 'go', 'fake', 'bitch']",1
"['haha', 'know', 'would', 'would', 'kid', 'bad', 'bahahaha', 'vv', 'woww', 'retarded', 'lol', 'thanks']",1
"['haha', 'keep', 'say', 'shit', 'kill', 'well', 'go', 'jail']",1
"['haha', 'hate', 'stop', 'talk', 'another', 'guy', 'hahaha', 'funny', 'dude', 'hilarious', 'stop', 'laughing']",1
"['haha', 'stfu', 'q', 'hehehe', 'bra', 'thing']",1
"['find', 'joke', 'amusing', 'would', 'like', 'see', 'forest', 'fire', 'fight', 'sound', 'like', 'challenge', 'fight']",1
"['haha', 'hater', 'say', 'ugly', 'fuck', 'need', 'open', 'eye', 'know', 'far', 'ugly', 'conceited', 'confident', 'hush', 'babe', 'go', 'talk', 'shitsay', 'face', 'think', 'control', 'love']",1
"['person', 'person', 'funny', 'good', 'stop', 'talk']",1
"['know', 'personal', 'level', 'bitch', 'well', 'support', 'decision', 'maybe', 'friend', 'bitch']",1
"['support', 'wish', 'would', 'date', 'someone', 'actually', 'cute', 'date', 'big', 'ass', 'beyond', 'cute', 'date', 'yet', 'wrong', 'reason', 'like']",1
"['give', 'fuck', 'friendless', 'previously', 'state', 'cardinal', 'comment', 'except', 'fiery', 'bitch', 'ahaha', 'friend', 'know', 'try', 'teach', 'life']",1
"['guarantee', 'guy', 'go', 'date', 'guarantee', 'complete', 'idiot', 'fuck']",1
"['hate', 'disgusting', 'gut', 'lindsey', 'gross', 'thing', 'ever', 'see', 'nothing', 'special', 'u', 'shut', 'mouth', 'good', 'depend', 'girl', 'haha']",1
"['shit', 'straight', 'wear', 'like', 'tshirts', 'little', 'pink', 'white', 'strip', 'shirt', 'plaid', 'blue', 'red', 'shirt', 'pink', 'shirt', 'whatever', 'maybe', 'random', 'one', 'jean', 'short', 'van', 'ahaha', 'really', 'dumb', 'even', 'would', 'mind', 'care', 'people', 'think', 'care']",1
"['hope', 'know', 'hate', 'france', 'one', 'best', 'friend', 'good', 'see', 'hate', 'though']",1
"['fight', 'bitch', 'haha', 'fuck', 'loser', 'know']",1
"['jealous', 'disgust', 'gross', 'um', 'really', 'get', 'shit', 'straight', 'start', 'frontin']",1
"['norp', 'person', 'suck', 'dick', 'thanks', 'like', 'dick']",1
"['one', 'say', 'sext', 'cardinal', 'joking', 'inappropriate', 'message', 'think', 'honestly', 'want', 'guess', 'could', 'anyone', 'whole', 'world', 'haha']",1
"['leave', 'france', 'alone', 'seriously', 'dude', 'go', 'hurt', 'talk', 'talk', 'sabreena', 'time', 'aha', 'sorry', 'talk', 'sabreena', 'good', 'friend', 'dumbass']",1
"['let', 'u', 'see', 'bear', 'ghetto', 'know', 'right', 'damn', 'thing', 'get', 'level', 'trick', 'treat', 'show', 'name', 'catch', 'ahh', 'fade', 'lil', 'homiee', 'know', 'stay', 'away', 'come', 'find', 'person']",1
"['person', 'one', 'cool', 'girl', 'poly', 'stop', 'hating', 'mature', 'ever', 'see', 'fight', 'dare', 'fight', 'could', 'say', 'good']",1
"['know', 'earth', 'would', 'wish', 'something', 'like', 'actually', 'wish', 'would', 'stop', 'player', 'player', 'maybe', 'know', 'would', 'know', 'one', 'get', 'play']",1
"['fun', 'must', 'dull', 'life', 'loser']",1
"['haha', 'listen', 'asshole', 'sit', 'try', 'tell', 'feeling', 'unless', 'know', 'personal', 'level', 'good', 'friend']",1
"['hate', 'person', 'use', 'fiery', 'dye', 'hair', 'okay', 'really', 'care', 'find', 'something', 'well', 'criticize']",1
"['thanks', 'throw', 'sound', 'like', 'retard', 'say', 'thing', 'like', 'know', 'go', 'happen', 'could', 'go', 'date', 'date', 'matter', 'always', 'feel']",1
"['tell', 'find', 'probably', 'hard', 'though', 'haha', 'oh', 'yeah', 'fck', 'youz', 'bitchass', 'nigga']",1
"['oh', 'france', 'try', 'talk', 'ghetto', 'white', 'ass', 'scare', 'break', 'cardinal', 'dude', 'back', 'fuck', 'probably', 'even', 'know', 'get', 'fuck', 'fucking', 'page', 'stay', 'fuck', 'away', 'france']",1
"['people', 'mean', 'talk', 'much', 'nonsense', 'poor', 'thing', 'hahaha', 'know', 'jealous', 'pull', 'girl', 'one', 'want', 'tiny', 'dick', 'bahahaha']",1
"['player', 'wish']",1
"['gay', 'bro', 'straight']",1
"['say', 'face', 'trick', 'ass', 'nigga', 'fuck', 'try', 'make', 'anyone', 'feel', 'bad', 'hush', 'something', 'say', 'please', 'step', 'show', 'name', 'fuckinn', 'bitch', 'whose']",1
"['point', 'cardinal', 'know', 'damn', 'thing', 'shut', 'sarcasm', 'seriously', 'know', 'would', 'treat', 'way', 'human', 'feeling', 'respect', 'nico', 'sorry', 'france', 'angry', 'person', 'obviously', 'jealous', 'way', 'talk', 'shit', 'think', 'stoop', 'level', 'even', 'worry', 'ignore']",1
"['late', 'hate', 'could', 'give', 'cardinal', 'shits', 'fuck', 'hatred']",1
"['dull', 'life', 'consist', 'drug', 'weed', 'fire', 'life', 'must', 'suck', 'haha', 'weed', 'drug', 'dumbfuck', 'must', 'jealous', 'life', 'since', 'know', 'much']",1
"['go', 'lot', 'shit', 'lot', 'people', 'hate', 'actually', 'anticipate', 'already', 'aware', 'lot', 'people', 'hate']",1
"['whatever', 'go', 'leave', 'guy', 'cry', 'get', 'hurt', 'mean', 'beg', 'leave', 'bye', 'pussy', 'one', 'anonymous', 'give', 'name', 'someone', 'beat', 'ass']",1
"['francis', 'mean']",1
['know'],1
"['insane', 'want', 'bad', 'news', 'nice', 'gay', 'type', 'dude']",1
"['yes', 'go', 'ahead', 'play', 'victim', 'know', 'player', 'know', 'player', 'fuck', 'bitch', 'know', 'would', 'know', 'lindsey', 'haley', 'played', 'shut', 'mouth']",1
"['france', 'gross', 'nasty', 'couple', 'ever', 'see', 'way', 'league', 'like', 'joke', 'appreciate', 'try', 'help', 'work', 'go', 'away', 'stop', 'jealous', 'yeah']",1
['faggot'],1
"['bitch', 'kill', 'nigga', 'suck', 'dick']",1
"['gay', 'haha', 'well', 'fat']",1
"['still', 'gay', 'bitch', 'well', 'rapist', 'fuck']",1
"['cardinal', 'talk', 'shit', 'back', 'fuckstick', 'mean', 'seriously', 'thirdgrade', 'get', 'know', 'thirdgraders', 'badass', 'get', 'fuck', 'ass', 'hard', 'kid', 'able', 'sit', 'date', 'life']",1
"['adolf', 'hitler', 'oneeyed', 'vegetarian', 'testicle', 'throw', 'norp', 'regime']",1
"['many', 'kid', 'would', 'get', 'tube', 'tie', 'guy', 'vasectomy', 'random', 'would']",1
"['cat', 'dog', 'person', 'dog', 'definitely']",1
"['addict', 'pop', 'pimple', 'really', 'get']",1
"['afraid', 'clowns']",1
"['idiot', 'confuse', 'think', 'quality', 'proud', 'nice']",1
"['smell', 'foot', 'poop', 'mr', 'anonymouser']",1
"['choose', 'crosseyed', 'cripple', 'crosseyed', 'haha']",1
"['gag', 'reflex', 'name']",1
"['ask', 'question', 'sometimes', 'really', 'want', 'answer']",1
"['fall', 'internet', 'advertisement', 'show', 'face']",1
"['calendar', 'hang', 'room', 'haha', 'show', 'face']",1
"['tic', 'problem', 'haha', 'show', 'face']",1
"['add', 'clinically', 'think', 'sometimes', 'haha']",1
"['innie', 'outtie']",1
"['know', 'dog', 'treat', 'taste', 'like', 'imagine']",1
"['think', 'sassy', 'people', 'opposite', 'sex', 'swear', 'every', 'usually', 'guess']",1
"['think', 'okay', 'guy', 'wear', 'pink', 'sometimes', 'usually', 'gay', 'ahha']",1
"['ever', 'see', 'therapist', 'sometimes', 'wish', 'someone', 'could', 'pour', 'thought']",1
